Match Number,Round Number,Date,Location,Home Team,Away Team,Result
100,12,09/11/2024 19:00,New Adana Stadium,Adana Demirspor,Eyüpspor,0 - 1
102,12,09/11/2024 19:00,Rize City Stadium,Çaykur Rizespor,Trabzonspor,3 - 1
107,12,10/11/2024 13:30,Gürsel Aksel Stadium,Göztepe,Konyaspor,2 - 0
104,12,10/11/2024 16:00,Rams Park,Galatasaray,Samsunspor,3 - 2
101,12,10/11/2024 19:00,Ülker Stadium,Fenerbahçe,Sivasspor,4 - 0
108,12,10/11/2024 19:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Besiktas,0 - 0
112,13,23/11/2024 13:30,Recep Tayyip Erdogan Stadium,Eyüpspor,Çaykur Rizespor,1 - 2
111,13,23/11/2024 16:00,RHG Enertürk Enerji Stadium,Kayserispor,Fenerbahçe,2 - 6
115,13,23/11/2024 16:00,Kalyon Stadium,Gaziantep,Istanbul Basaksehir,3 - 0
117,13,23/11/2024 19:00,Bodrum District Stadium,Bodrum,Galatasaray,0 - 1
109,13,24/11/2024 13:47,New Sivas 4 Eylül Stadium,Sivasspor,Kasimpasa,0 - 0
114,13,24/11/2024 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Hatayspor,1 - 1
116,13,24/11/2024 16:00,Samsun 19 Mayis Stadium,Samsunspor,Alanyaspor,1 - 1
113,13,24/11/2024 19:00,Besiktas Park,Besiktas,Göztepe,2 - 4
110,13,25/11/2024 20:00,Papara Park,Trabzonspor,Adana Demirspor,5 - 0
124,14,29/11/2024 20:00,Corendon Airlines Park,Antalyaspor,Sivasspor,2 - 1
125,14,30/11/2024 13:30,Samsun 19 Mayis Stadium,Samsunspor,Bodrum,4 - 0
118,14,30/11/2024 16:00,New Adana Stadium,Adana Demirspor,Konyaspor,0 - 1
123,14,30/11/2024 19:00,Alanya Oba Stadium,Alanyaspor,Trabzonspor,2 - 1
126,14,30/11/2024 19:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Göztepe,4 - 1
120,14,01/12/2024 16:00,Rize City Stadium,Çaykur Rizespor,Kayserispor,3 - 0
122,14,01/12/2024 19:00,Rams Park,Galatasaray,Eyüpspor,2 - 2
119,14,02/12/2024 20:00,Ülker Stadium,Fenerbahçe,Gaziantep,3 - 1
121,14,02/12/2024 20:00,Mersin Stadium,Hatayspor,Besiktas,1 - 1
128,15,06/12/2024 20:00,Papara Park,Trabzonspor,Kasimpasa,2 - 2
132,15,07/12/2024 13:30,Konya Metropolitan Municipality Stadium,Konyaspor,Antalyaspor,1 - 1
134,15,07/12/2024 16:00,Gürsel Aksel Stadium,Göztepe,Adana Demirspor,3 - 1
131,15,07/12/2024 19:00,Besiktas Park,Besiktas,Fenerbahçe,1 - 0
130,15,08/12/2024 13:30,Recep Tayyip Erdogan Stadium,Eyüpspor,Samsunspor,3 - 0
127,15,08/12/2024 16:00,New Sivas 4 Eylül Stadium,Sivasspor,Galatasaray,2 - 3
129,15,08/12/2024 16:00,RHG Enertürk Enerji Stadium,Kayserispor,Alanyaspor,2 - 0
135,15,08/12/2024 19:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Hatayspor,3 - 0
133,15,09/12/2024 20:00,Kalyon Stadium,Gaziantep,Çaykur Rizespor,1 - 0
139,16,13/12/2024 20:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Eyüpspor,2 - 0
144,16,13/12/2024 20:00,Bodrum District Stadium,Bodrum,Sivasspor,2 - 0
138,16,14/12/2024 16:00,Rize City Stadium,Çaykur Rizespor,Konyaspor,1 - 1
141,16,14/12/2024 19:00,Alanya Oba Stadium,Alanyaspor,Gaziantep,3 - 0
143,16,15/12/2024 13:30,Mersin Stadium,Hatayspor,Göztepe,1 - 1
142,16,15/12/2024 16:00,Corendon Airlines Park,Antalyaspor,Kayserispor,2 - 0
137,16,15/12/2024 19:00,Ülker Stadium,Fenerbahçe,Istanbul Basaksehir,3 - 1
136,16,16/12/2024 19:00,New Adana Stadium,Adana Demirspor,Besiktas,2 - 1
140,16,16/12/2024 21:00,Rams Park,Galatasaray,Trabzonspor,4 - 3
148,17,20/12/2024 20:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Fenerbahçe,1 - 1
145,17,21/12/2024 16:00,New Sivas 4 Eylül Stadium,Sivasspor,Samsunspor,0 - 0
149,17,21/12/2024 19:00,Besiktas Park,Besiktas,Alanyaspor,1 - 1
151,17,22/12/2024 13:30,Kalyon Stadium,Gaziantep,Antalyaspor,2 - 0
147,17,22/12/2024 16:00,RHG Enertürk Enerji Stadium,Kayserispor,Galatasaray,1 - 5
152,17,22/12/2024 16:00,Gürsel Aksel Stadium,Göztepe,Çaykur Rizespor,3 - 0
146,17,22/12/2024 19:00,Papara Park,Trabzonspor,Bodrum,1 - 0
150,17,23/12/2024 20:00,Mersin Stadium,Hatayspor,Adana Demirspor,1 - 3
153,17,23/12/2024 20:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Kasimpasa,2 - 2
156,18,03/01/2025 20:00,Rize City Stadium,Çaykur Rizespor,Besiktas,1 - 1
159,18,03/01/2025 20:00,Alanya Oba Stadium,Alanyaspor,Konyaspor,2 - 1
154,18,04/01/2025 13:30,New Adana Stadium,Adana Demirspor,Istanbul Basaksehir,0 - 1
160,18,04/01/2025 16:00,Corendon Airlines Park,Antalyaspor,Eyüpspor,1 - 4
158,18,04/01/2025 19:00,Rams Park,Galatasaray,Göztepe,2 - 1
161,18,04/01/2025 20:00,Samsun 19 Mayis Stadium,Samsunspor,Trabzonspor,2 - 1
157,18,05/01/2025 13:30,Recep Tayyip Erdogan Stadium,Kasimpasa,Gaziantep,2 - 2
162,18,05/01/2025 16:00,Bodrum District Stadium,Bodrum,Kayserispor,1 - 1
155,18,05/01/2025 19:00,Ülker Stadium,Fenerbahçe,Hatayspor,2 - 1
165,19,11/01/2025 13:30,RHG Enertürk Enerji Stadium,Kayserispor,Samsunspor,0 - 1
166,19,11/01/2025 16:00,Mersin Stadium,Hatayspor,Çaykur Rizespor,1 - 2
167,19,11/01/2025 19:00,Besiktas Park,Besiktas,Bodrum,2 - 1
