Round,Match,Home Team,Away Team,Home Goals,Away Goals,Home Elo Before,Away Elo Before,Home Elo After,Away Elo After
26,Gaziantep vs Eyüpspor,Gaziantep,Eyüpspor,3.0,1.0,1468.7187151867527,1547.5266107735636,1510.9773040531725,1505.2680219071437
26,Istanbul Basaksehir vs Sivasspor,Istanbul Basaksehir,Sivasspor,1.0,0.0,1520.5617861094943,1346.0116172563623,1530.8057952485108,1335.7676081173458
26,Göztepe vs Samsunspor,Göztepe,Samsunspor,2.0,2.0,1515.911952090216,1553.3968589606468,1508.5687963340886,1560.740014716774
27,Bodrum vs Kasimpasa,Bodrum,Kasimpasa,1.0,0.0,1416.8325353930386,1534.3212924307716,1448.3413619341484,1502.8124658896618
27,Kayserispor vs Istanbul Basaksehir,Kayserispor,Istanbul Basaksehir,3.0,1.0,1434.3170110507224,1530.8057952485108,1478.8622524170835,1486.2605538821497
27,Antalyaspor vs Çaykur Rizespor,Antalyaspor,Çaykur Rizespor,2.0,1.0,1435.2633658530567,1514.4772740810677,1463.4706887413274,1486.269951192797
27,Trabzonspor vs Hatayspor,Trabzonspor,Hatayspor,1.0,2.0,1507.9138508932215,1296.0325928260092,1456.4590596252842,1347.4873840939465
27,Sivasspor vs Göztepe,Sivasspor,Göztepe,3.0,1.0,1335.7676081173458,1508.5687963340886,1390.061227826825,1454.2751766246095
27,Samsunspor vs Adana Demirspor,Samsunspor,Adana Demirspor,3.0,2.0,1560.740014716774,1259.7950875072456,1566.16764770281,1254.3674545212098
27,Eyüpspor vs Konyaspor,Eyüpspor,Konyaspor,2.0,1.0,1505.2680219071437,1432.3592188818848,1521.459502620196,1416.1677381688326
27,Alanyaspor vs Galatasaray,Alanyaspor,Galatasaray,1.0,2.0,1460.076932457411,1772.3549702390458,1446.421541748134,1786.0103609483228
27,Besiktas vs Gaziantep,Besiktas,Gaziantep,1.0,2.0,1651.0024422191452,1510.9773040531725,1603.0466496736549,1558.9330965986628
28,Galatasaray vs Antalyaspor,Galatasaray,Antalyaspor,4.0,0.0,1786.0103609483228,1463.4706887413274,1795.093619357269,1454.3874303323812
28,Gaziantep vs Kayserispor,Gaziantep,Kayserispor,1.0,0.0,1558.9330965986628,1478.8622524170835,1574.6418252031935,1463.1535238125527
28,Kasimpasa vs Alanyaspor,Kasimpasa,Alanyaspor,2.0,1.0,1502.8124658896618,1446.421541748134,1520.1523082692568,1429.081699368539
28,Istanbul Basaksehir vs Trabzonspor,Istanbul Basaksehir,Trabzonspor,0.0,3.0,1486.2605538821497,1456.4590596252842,1415.0109417827694,1527.7086717246643
28,Konyaspor vs Besiktas,Konyaspor,Besiktas,1.0,0.0,1416.1677381688326,1603.0466496736549,1453.516922593744,1565.6974652487434
28,Çaykur Rizespor vs Bodrum,Çaykur Rizespor,Bodrum,0.0,2.0,1486.269951192797,1448.3413619341484,1424.288261385909,1510.3230517410364
28,Hatayspor vs Sivasspor,Hatayspor,Sivasspor,3.0,2.0,1347.4873840939465,1390.061227826825,1372.5734781733906,1364.9751337473808
28,Göztepe vs Eyüpspor,Göztepe,Eyüpspor,1.0,1.0,1454.2751766246095,1521.459502620196,1450.3906132043155,1525.34406604049
28,Fenerbahçe vs Samsunspor,Fenerbahçe,Samsunspor,0.0,0.0,1833.1258857903438,1566.16764770281,1800.7775717818886,1598.5159617112652
29,Kayserispor vs Hatayspor,Kayserispor,Hatayspor,5.0,0.0,1463.1535238125527,1372.5734781733906,1493.1883078078617,1342.5386941780816
29,Antalyaspor vs Alanyaspor,Antalyaspor,Alanyaspor,2.0,1.0,1454.3874303323812,1429.081699368539,1474.0136023477933,1409.4555273531269
29,Bodrum vs Fenerbahçe,Bodrum,Fenerbahçe,2.0,4.0,1510.3230517410364,1800.7775717818886,1487.784758527549,1823.315864995376
29,Konyaspor vs Gaziantep,Konyaspor,Gaziantep,1.0,0.0,1453.516922593744,1574.6418252031935,1485.338748813213,1542.8199989837246
29,Sivasspor vs Adana Demirspor,Sivasspor,Adana Demirspor,5.0,1.0,1364.9751337473808,1254.3674545212098,1390.7696490823137,1228.572939186277
